city,month,upt,index
Minneapolis,2025-08,4183218,64.41729224917854
Minneapolis,2025-09,4143330,63.80305771652086
Minneapolis,2025-10,4147296,63.8641300730321
Minneapolis,2025-11,3617372,55.703840750827595
Minneapolis,2025-12,3414369,52.57780152015399
Pittsburgh,2019-01,5076124,94.95557110050275
Pittsburgh,2019-02,5024322,93.98654660580006
Pittsburgh,2019-03,5262177,98.43593699975224
Pittsburgh,2019-04,5511184,103.09394021106522
Pittsburgh,2019-05,5517349,103.2092646388835
Pittsburgh,2019-06,5011528,93.74721802031637
Pittsburgh,2019-07,5386023,100.75263920373953
Pittsburgh,2019-08,5535478,103.54839141129509
Pittsburgh,2019-09,5693932,106.51248174146808
Pittsburgh,2019-10,6076488,113.66869452467114
Pittsburgh,2019-11,5162998,96.58066345123831
Pittsburgh,2019-12,4891859,91.50865209126773
Pittsburgh,2020-01,5301935,99.17966264471556
Pittsburgh,2020-02,5071723,94.87324461115512
Pittsburgh,2020-03,3425386,64.07634720303655
Pittsburgh,2020-04,1416402,26.495661023626354
Pittsburgh,2020-05,1767215,33.05807927118703
Pittsburgh,2020-06,2058711,38.510895071886964
Pittsburgh,2020-07,1866350,34.912529741870635
Pittsburgh,2020-08,1891222,35.37779319178078
Pittsburgh,2020-09,1947470,36.42998595997578
Pittsburgh,2020-10,2033676,38.042582492741715
Pittsburgh,2020-11,1767227,33.05830374695894
Pittsburgh,2020-12,1596567,29.865884144125793
Pittsburgh,2021-01,1546069,28.921252683303877
Pittsburgh,2021-02,1576682,29.49390908375818
Pittsburgh,2021-03,1998831,37.390760970060825
Pittsburgh,2021-04,2060643,38.54703567116432
Pittsburgh,2021-05,2023940,37.86045781646617
Pittsburgh,2021-06,2159423,40.394845400262284
Pittsburgh,2021-07,2267170,42.410394649919276
Pittsburgh,2021-08,2528132,47.29203184899664
Pittsburgh,2021-09,2981923,55.78078893319479
Pittsburgh,2021-10,3004177,56.19707925220012
Pittsburgh,2021-11,2701537,50.53580028465399
Pittsburgh,2021-12,2510785,46.96753341438779
Pittsburgh,2022-01,2159017,40.38725063664603
Pittsburgh,2022-02,2497404,46.71722422239488
