route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
39,2019-04,1811,1903,94,94,0,0.8092,0.765,-0.04420000000000002,3,3,neutral,false
39,2019-06,1903,1906,94,96,2,0.7826000000000001,0.7607666666666667,-0.02183333333333337,3,3,increase,false
39,2019-09,1906,1909,96,96,0,0.7607666666666667,0.7953,0.034533333333333305,3,3,neutral,false
39,2019-12,1909,1911,96,96,0,0.7953,0.8269000000000001,0.03160000000000007,3,3,neutral,false
39,2020-03,1911,2003,96,288,192,0.8269000000000001,0.7724333333333333,-0.054466666666666774,3,3,increase,true
39,2020-04,2003,2003EMERG,288,198,-90,0.8290000000000001,0.7568,-0.07220000000000004,3,3,cut,true
39,2020-09,2003EMERG,2009,198,96,-102,0.7640000000000001,0.7744666666666666,0.010466666666666513,3,3,cut,false
39,2020-12,2009,2011,96,71,-25,0.7744666666666666,0.7248,-0.04966666666666664,3,3,cut,false
4,2019-04,1811,1903,46,46,0,0.7010666666666666,0.6956333333333333,-0.00543333333333329,3,3,neutral,false
4,2019-07,1903,1906,46,46,0,0.6956333333333333,0.7589333333333333,0.06330000000000002,3,3,neutral,false
4,2019-09,1906,1909,46,46,0,0.7085333333333333,0.8021666666666666,0.09363333333333324,3,3,neutral,false
4,2019-12,1909,1911,46,46,0,0.8021666666666666,0.7975666666666666,-0.0045999999999999375,3,3,neutral,false
4,2020-03,1911,2003,46,138,92,0.7975666666666666,0.7696333333333333,-0.027933333333333366,3,3,increase,true
4,2020-04,2003,2003EMERG,138,108,-30,0.7955666666666668,0.7463333333333333,-0.04923333333333346,3,3,cut,true
4,2020-09,2003EMERG,2009,108,46,-62,0.7377333333333334,0.7195,-0.018233333333333324,3,3,cut,false
4,2020-12,2009,2011,46,40,-6,0.7195,0.7403,0.02079999999999993,3,3,cut,false
40,2019-04,1811,1903,48,48,0,0.7616333333333333,0.7508666666666666,-0.010766666666666702,3,3,neutral,false
40,2019-06,1903,1906,48,51,3,0.7587999999999999,0.7589333333333333,0.00013333333333342967,3,3,increase,false
40,2019-09,1906,1909,51,51,0,0.7589333333333333,0.8117333333333333,0.05279999999999996,3,3,neutral,false
40,2019-12,1909,1911,51,51,0,0.8117333333333333,0.8138333333333333,0.0020999999999999908,3,3,neutral,false
40,2020-03,1911,2003,51,153,102,0.8138333333333333,0.7918666666666666,-0.02196666666666669,3,3,increase,true
40,2020-04,2003,2003EMERG,153,138,-15,0.8186666666666667,0.7790666666666666,-0.03960000000000008,3,3,cut,true
40,2020-09,2003EMERG,2009,138,51,-87,0.7710666666666667,0.7296666666666667,-0.04139999999999999,3,3,cut,false
