current_garage,month,weighted_otp,unweighted_otp,total_riders,n_routes
Ross,2021-12,0.70976405570377,0.7223909090909091,15563.69565217391,22
Ross,2022-01,0.7170262552915782,0.7272818181818181,14184.714285714274,22
Ross,2022-02,0.7028451140707928,0.7223545454545455,16976.3,22
Ross,2022-03,0.689734819390878,0.7152181818181819,19108.043478260875,22
Ross,2022-04,0.6853462629850091,0.7077227272727273,18207.809523809523,22
Ross,2022-05,0.6959957891396259,0.708409090909091,18156.000000000007,22
Ross,2022-06,0.6761379937132361,0.6928318181818182,18089.954545454533,22
Ross,2022-07,0.6612127257815489,0.6817636363636365,18167.45,22
Ross,2022-08,0.6682913099423429,0.6832136363636363,18550.434782608696,22
Ross,2022-09,0.6148073556244463,0.6318909090909091,21504.761904761916,22
Ross,2022-10,0.6939089588478798,0.7068181818181819,20533.57142857142,22
Ross,2022-11,0.6992964568222353,0.7094818181818181,19570.80952380952,22
Ross,2022-12,0.7157671667398565,0.71705,17803.454545454544,22
Ross,2023-01,0.7426701183106755,0.7453545454545455,18195.545454545456,22
Ross,2023-02,0.7249667475014513,0.7390181818181819,19896.55,22
Ross,2023-03,0.7105279388352278,0.7243409090909091,19553.73913043478,22
Ross,2023-04,0.6928677239834468,0.7101818181818182,20044.45,22
Ross,2023-05,0.6768827393591326,0.6959136363636363,20229.681818181816,22
Ross,2023-06,0.6686074987577785,0.6739863636363637,19210.454545454544,22
Ross,2023-07,0.6624156094502895,0.6588636363636363,19061.85,22
Ross,2023-08,0.6613686554290014,0.6644181818181818,19708.565217391308,22
Ross,2023-09,0.6670469820663811,0.6703954545454546,21668.8,22
Ross,2023-10,0.6761506698378175,0.6869272727272727,21233.09090909091,22
Ross,2023-11,0.6746652391766513,0.6860681818181819,18389.47619047619,22
Ross,2023-12,0.679125289507829,0.7025045454545454,16454.65,22
Ross,2024-01,0.7103916216962353,0.7204454545454545,15641.590909090903,22
Ross,2024-02,0.7148051382009292,0.7340409090909091,17333.285714285714,22
Ross,2024-03,0.6584675478372021,0.6834863636363636,17285.809523809516,22
Ross,2024-04,0.6337519448262321,0.6595545454545454,18520.0,22
Ross,2024-05,0.639073604155695,0.6653363636363636,18988.181818181827,22
Ross,2024-06,0.6459537403613765,0.6706318181818182,18246.899999999998,22
Ross,2024-07,0.6730073687003992,0.6888409090909091,17984.54545454545,22
Ross,2024-08,0.6786706677783406,0.6864636363636364,18208.954545454537,22
Ross,2024-09,0.673106471683024,0.6888590909090909,20444.45,22
Ross,2024-10,0.6711775210333489,0.6879045454545455,20138.826086956527,22
South Hills Village,2019-01,0.8495437830536369,0.8513666666666667,23420.95454545454,3
South Hills Village,2019-02,0.8490128479079896,0.8504666666666667,24658.1,3
South Hills Village,2019-03,0.8552648189517333,0.8561666666666667,24897.33333333331,3
South Hills Village,2019-04,0.8331659063425789,0.8305333333333333,26236.81818181817,3
South Hills Village,2019-05,0.822602042191344,0.8223333333333334,26513.40909090906,3
South Hills Village,2019-06,0.8350634138679032,0.8313666666666667,26738.0,3
South Hills Village,2019-07,0.8578581102850682,0.8498666666666667,27256.6363636364,3
South Hills Village,2019-08,0.682284431107952,0.6759666666666666,24683.54545454544,3
South Hills Village,2019-09,0.9253734831077589,0.9237000000000001,27570.35,3
South Hills Village,2019-10,0.9266768590427876,0.9245333333333333,26637.13043478263,3
South Hills Village,2019-11,0.9156694881664551,0.9141666666666667,25784.75,3
South Hills Village,2019-12,0.9025343009973584,0.9002666666666667,23199.38095238095,3
South Hills Village,2020-01,0.8495657232739796,0.8473,24230.727272727272,3
South Hills Village,2020-02,0.9194611962277472,0.9183333333333333,24786.25,3
South Hills Village,2020-03,0.906434626456402,0.9052333333333333,16642.81818181818,3
South Hills Village,2020-04,0.8955075826029022,0.8965,2183.2272727272702,3
South Hills Village,2020-05,0.9193830369815487,0.9191333333333334,2536.4,3
South Hills Village,2020-06,0.9046238413823661,0.9049666666666667,4103.636363636368,3
South Hills Village,2020-07,0.8807472696370038,0.8766333333333334,3581.304347826091,3
South Hills Village,2020-08,0.8818270543301627,0.8781666666666667,4600.619047619047,3
South Hills Village,2020-09,0.8518993567552128,0.8474333333333334,4167.857142857135,3
South Hills Village,2020-10,0.8696511519004007,0.8734999999999999,4833.90909090909,3
South Hills Village,2020-11,0.9070287536822521,0.9039999999999999,4514.9,3
South Hills Village,2020-12,0.8963682762097955,0.8950999999999999,3876.4999999999964,3
South Hills Village,2021-01,0.9075395471107524,0.9094666666666668,4089.3,3
South Hills Village,2021-02,0.8890757535583865,0.8897666666666666,4148.65,3
South Hills Village,2021-03,0.8928831787107134,0.8935666666666666,4738.04347826087,3
South Hills Village,2021-04,0.875625966431296,0.8770000000000001,5207.77272727273,3
South Hills Village,2021-05,0.8157888683526698,0.8150666666666666,5464.6,3
South Hills Village,2021-06,0.8598000000000001,0.8598,2932.81818181818,1
South Hills Village,2021-07,0.8649123705388505,0.8608666666666668,6846.1428571428605,3
South Hills Village,2021-08,0.8119909367574102,0.8064,6541.90909090909,3
South Hills Village,2021-09,0.8679359543805885,0.8742000000000001,7365.28571428571,3
South Hills Village,2021-10,0.8710703881968643,0.8665333333333333,7420.1428571428605,3
South Hills Village,2021-11,0.8731424379723547,0.8710999999999999,7661.714285714281,3
South Hills Village,2021-12,0.8796731772935162,0.8798666666666666,6464.34782608695,3
South Hills Village,2022-01,0.8740042984322551,0.8731333333333334,6199.38095238095,3
South Hills Village,2022-02,0.7846756008844561,0.79,5223.55,3
South Hills Village,2022-03,0.7566997319631905,0.7600666666666666,5466.47826086957,3
South Hills Village,2022-04,0.7478787268221038,0.7413,6225.14285714285,3
South Hills Village,2022-05,0.7835144912197013,0.7868666666666666,6388.76190476191,3
South Hills Village,2022-06,0.8546065266765897,0.8582000000000001,7665.04545454545,3
South Hills Village,2022-07,0.8612523929266271,0.8637666666666667,9226.15,3
South Hills Village,2022-08,0.8635175941162642,0.8685999999999999,9062.5652173913,3
South Hills Village,2022-09,0.8434452893354667,0.8402,10326.61904761904,3
South Hills Village,2022-10,0.8647065307974752,0.8674333333333334,9233.90476190476,3
South Hills Village,2022-11,0.8892613048288466,0.8916666666666666,8651.38095238096,3
South Hills Village,2022-12,0.8750914219949443,0.8761000000000001,7839.81818181818,3
South Hills Village,2023-01,0.8766735438669874,0.8783,8258.95454545455,3
South Hills Village,2023-02,0.8859398126436911,0.8851,8742.7,3
South Hills Village,2023-03,0.8780220104563647,0.8774000000000001,11351.52173913043,3
South Hills Village,2023-04,0.8676621796210956,0.8685666666666666,12206.25,3
South Hills Village,2023-05,0.8778383414934982,0.8796666666666667,12087.54545454545,3
South Hills Village,2023-06,0.8170263384934027,0.8178000000000001,12728.86363636364,3
South Hills Village,2023-07,0.8680297870872308,0.8694333333333333,11593.95,3
South Hills Village,2023-08,0.8410288280969496,0.8412666666666667,11988.30434782609,3
South Hills Village,2023-09,0.8779414448255431,0.8868999999999999,12405.65,3
South Hills Village,2023-10,0.7176925511252298,0.7104666666666667,10531.18181818181,3
South Hills Village,2023-11,0.8004747997498871,0.7956333333333333,10433.38095238096,3
South Hills Village,2023-12,0.8671530607758043,0.8685666666666666,10461.4,3
South Hills Village,2024-01,0.8728303225747471,0.8711666666666668,9944.13636363636,3
South Hills Village,2024-02,0.8852349670231731,0.8868666666666667,10685.71428571429,3
South Hills Village,2024-03,0.8719434123690609,0.878,10419.238095238099,3
South Hills Village,2024-04,0.890495599277391,0.8918333333333334,10618.0909090909,3
South Hills Village,2024-05,0.6643059017242184,0.6629,10711.04545454545,3
South Hills Village,2024-06,0.732532231944298,0.7172333333333333,9960.150000000001,3
South Hills Village,2024-07,0.8657586378809554,0.8325999999999999,9436.5,3
