rank,ntd_id,agency_name,city,state,vrh_2019,vrh_2024,vrh_pct_change,upt_2019,upt_2024,upt_pct_change
63,50066,Chicago Transit Authority (CTA),Chicago,IL,9879254.0,9570164.0,-3.128677529700117,455743541.0,309197026.0,-32.15547820566918
64,60056,Dallas Area Rapid Transit (DART),Dallas,TX,3539625.0,3428041.0,-3.152424338736448,69301548.0,54358356.0,-21.562565961730034
65,50015,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,1688437.0,1633954.0,-3.2268304947119733,32171825.0,24888785.0,-22.637944847704475
66,90146,Foothill Transit,West Covina,CA,858500.0,828639.0,-3.4782760629004073,12053307.0,9164170.0,-23.96966243372047
67,50036,Capital Area Transportation Authority (CATA),Lansing,MI,487788.0,468266.0,-4.002148474337212,11049330.0,8843763.0,-19.961092663537062
68,20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,2162131.0,2071596.0,-4.187304099520334,92012752.0,74395798.0,-19.146209212392648
69,40087,City of Durham - Transportation Department,Durham,NC,295266.0,282605.0,-4.287997940839785,6765036.0,6540017.0,-3.3262055072582024
70,3,Pierce County Transportation Benefit Area Authority,Lakewood,WA,724603.0,693465.0,-4.297249666369033,9408240.0,7497585.0,-20.308314838907172
71,30051,"Montgomery County, Maryland (MCDOT) - Transportation",Rockville,MD,1061712.0,1013734.0,-4.518927920189279,20596520.0,18434535.0,-10.496846069141776
72,40093,City of Greensboro (GTA) - Transit,Greensboro,NC,297371.0,282708.0,-4.930877590619125,3465962.0,2541347.0,-26.677009153591413
73,90045,Regional Transportation Commission of Southern Nevada (RTC),Las Vegas,NV,2368675.0,2246808.0,-5.144943903237042,65821192.0,53714730.0,-18.39295465812895
74,60032,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,788273.0,747140.0,-5.218116058776592,16316609.0,14106028.0,-13.54804175303827
75,30034,Maryland Transit Administration (MTA),Baltimore,MD,4283186.0,3996476.0,-6.693848924608924,94036949.0,64238734.0,-31.687773068860416
76,90230,California Vanpool Authority (CVA),Visalia,CA,359964.0,334917.0,-6.958195819581958,3434148.0,3466955.0,0.9553170102162167
77,90013,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,1942415.0,1785683.0,-8.06892450892317,36432963.0,27710782.0,-23.94035588047011
78,20018,Central New York Regional Transportation Authority (CNYRTA),Syracuse,NY,497977.0,457282.0,-8.17206417163845,10194902.0,7296742.0,-28.427541530070616
79,30075,Delaware Transit Corporation (DTC),Dover,DE,1039363.0,954267.0,-8.187322427294411,8109258.0,8257298.0,1.8255677646462847
