mode,month,avg_otp,route_count,bus_type
BUS,2022-11,0.679428125,64,local
BUS,2022-12,0.6967796875,64,local
BUS,2023-01,0.7187671875,64,local
BUS,2023-02,0.6900328125,64,local
BUS,2023-03,0.6886640625,64,local
BUS,2023-04,0.6714921875,64,local
BUS,2023-05,0.6575515625,64,local
BUS,2023-06,0.6477078125,64,local
BUS,2023-07,0.6366109375,64,local
BUS,2023-08,0.6359703125,64,local
BUS,2023-09,0.6164015625,64,local
BUS,2023-10,0.6442328125,64,local
BUS,2023-11,0.661046875,64,local
BUS,2023-12,0.6720453125,64,local
BUS,2024-01,0.6897046875,64,local
BUS,2024-02,0.6906890625,64,local
BUS,2024-03,0.6879015625,64,local
BUS,2024-04,0.6602421875,64,local
BUS,2024-05,0.6481140625,64,local
BUS,2024-06,0.665090625,64,local
BUS,2024-07,0.6754640625,64,local
BUS,2024-08,0.6432328125,64,local
BUS,2024-09,0.632040625,64,local
BUS,2024-10,0.6376390625,64,local
BUS,2024-11,0.6700126984126984,63,local
BUS,2024-12,0.6919125,64,local
BUS,2025-01,0.695634375,64,local
BUS,2025-02,0.7060953125,64,local
BUS,2025-03,0.690965625,64,local
BUS,2025-04,0.6602375,64,local
BUS,2025-05,0.6471888888888889,63,local
BUS,2025-06,0.6235274509803922,51,local
BUS,2025-07,0.6171627450980393,51,local
BUS,2025-08,0.6503421875,64,local
BUS,2025-09,0.6473492063492063,63,local
BUS,2025-10,0.6456460317460317,63,local
BUS,2025-11,0.6616390625,64,local
