stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
W26165,1.9318181818181799,101.12045454545455,WEST BUSWAY AT IDLEWOOD STATION A,40.4261,-80.0729,PAAC,Busway,Busway Station,103.05227272727274,true
E52380,8.0204544,2.4113637750000003,SOUTH AVE AT COAL ST,40.4403,-79.8801,No Shelter,Bus,Bus Stop,10.431818175,false
N39030,0.0,0.1386363636363635,NORTHGATE DR AT SPRINGFIELD DR,40.5778,-79.9922,No Shelter,Bus,Bus Stop,0.1386363636363635,false
N52235,0.0,0.0,THOMPSON RUN RD AT RADCLIFFE DR,40.5173,-79.9938,No Shelter,Bus,Bus Stop,0.0,false
N71319,0.0,1.1318181999999999,CORNELL AVE AT #1719,40.512,-80.0451,No Shelter,Bus,Bus Stop,1.1318181999999999,false
E12240,4.054545249999999,16.5818185,BUTLER ST OPP 47TH ST,40.4738,-79.958,No Shelter,Bus,Bus Stop,20.63636375,false
E55535,6.665909,0.70227275,VERONA RD OPP 2ND ST,40.5016,-79.8377,No Shelter,Bus,Bus Stop,7.36818175,false
E26440,7.922727500000001,3.8522724999999998,HAMILTON AVE AT COLLIER ST,40.4536,-79.8928,No Shelter,Bus,Bus Stop,11.775,false
W13613,0.268181818181818,1.8068181818181799,MCKEES ROCKS RD AT HECKLE RD FS,40.4707,-80.092,No Shelter,Bus,Bus Stop,2.074999999999998,false
X01270,0.8409091,22.213635,BELTZHOOVER AVE AT EUREKA ST,40.4236,-79.9974,No Shelter,Bus,Bus Stop,23.0545441,false
E28880,12.675,85.775,HIGHLAND AVE AT FIFTH AVE FS,40.4523,-79.9242,No Shelter,Bus,Bus Stop,98.45,false
N08700,22.945455000000003,24.425,BEAVER ST AT WALNUT ST,40.5413,-80.1818,No Shelter,Bus,Bus Stop,47.37045500000001,false
E70454,0.868181775,23.004547249999998,FIFTH AVE AT HASTINGS ST FS (PENN AVE),40.4539,-79.9131,No Shelter,Bus,Bus Stop,23.872729024999998,false
S46870,0.318181818181818,0.209090909090909,WALNUT ST AT 26TH AVE FS,40.3341,-79.8487,No Shelter,Bus,Bus Stop,0.527272727272727,false
