stop_id,stop_name,mode,stop_type,avg_daily_usage,avg_ons,avg_offs,lat,lon
W70118,LAYOVER WEST BUSWAY TERMINAL,Busway,Busway Stop,205.35681818181808,50.4659090909091,154.890909090909,40.4055,-80.0908
E41890,NEGLEY AVE AT PENN AVE,Bus,Bus Stop,204.5931855,79.72727499999999,124.8659105,40.4632,-79.9308
W07587,KENNEDY CTR GIANT EAGLE,Bus,Bus Stop,204.3477272727273,104.8886363636364,99.4590909090909,40.4679,-80.0972
E14000,CENTRE AVE OPP MILLVALE AVE,Bus,Bus Stop,202.084095,59.45,142.634095,40.4532,-79.9475
S02930,8TH AVE AT WEST ST FS,Bus,Bus Stop,201.53863636363636,46.29772727272728,155.24090909090907,40.4062,-79.9119
S16310,E CARSON ST AT S 24TH ST,Bus,Bus Stop,201.279531,33.118181,168.16135,40.4282,-79.9713
E30310,HWY RT 286 OPP ALPINE VILLAGE PARK AND RIDE,Bus,Bus Stop,200.95454545454527,0.8227272727272725,200.131818181818,40.4291,-79.7194
E70217,VA HOSPITAL TRANSIT LOOP AT SHELTER,Bus,Bus Stop,199.079565,86.486365,112.5932,40.4467,-79.9604
E19640,FORBES AVE AT MURDOCH ST,Bus,Bus Stop,197.929543,16.731818,181.197725,40.4378,-79.9308
E01990,FIFTH AVE OPP MARYLAND AVE,Bus,Bus Stop,196.6181785,22.2340905,174.384088,40.4504,-79.9275
E41100,MURRAY AVE AT BARTLETT ST FS,Bus,Bus Stop,196.102275,131.709095,64.39318,40.4362,-79.9228
S08700,BROWNSVILLE RD AT KNOX AVE,Bus,Bus Stop,194.70909425,55.84318425,138.86590999999999,40.4108,-79.9902
S08930,BROWNSVILLE RD AT PARKFIELD ST,Bus,Bus Stop,193.179549,40.011364,153.168185,40.3915,-79.9867
N38740,NORTH AVE AT REDDOUR ST,Bus,Bus Stop,192.5795462,106.3863632,86.193183,40.4554,-80.0075
S08790,BROWNSVILLE RD AT MCKINLEY ST,Bus,Bus Stop,192.40227320000002,67.33636320000001,125.06591000000002,40.409,-79.9911
P02865,PENN AVE AT 8TH ST,Bus,Bus Stop,191.620464,132.390915,59.22954899999999,40.4436,-79.9992
E41140,MURRAY AVE AT DARLINGTON RD,Bus,Bus Stop,190.95455,81.01364000000001,109.94091,40.4372,-79.923
E17308,EAST BUSWAY AT NEGLEY STATION B,Busway,Busway Station,190.947732485,188.4477325,2.499999985,40.4566,-79.9326
E41300,MURRAY AVE OPP MORROWFIELD AVE,Bus,Bus Stop,189.2090925,14.1477275,175.061365,40.4281,-79.9252
S70407,E CARSON ST AT S 9TH ST,Bus,Bus Stop,188.37273,128.90227499999997,59.470455,40.4287,-79.9897
E19520,FORBES AVE AT MARGARET MORRISON ST NS,Bus,Bus Stop,187.013635,119.231815,67.78182,40.4428,-79.9378
N53510,WATERWORKS MALL AT WALMART,Bus,Bus Stop,185.956818,134.961365,50.995453000000005,40.4879,-79.8885
E01920,FIFTH AVE OPP CLYDE ST,Bus,Bus Stop,185.38863909999998,166.07272999999998,19.3159091,40.4472,-79.945
P00680,SIXTH AVE AT FIFTH AVE,Bus,Bus Stop,181.6068215,21.8681815,159.73864,40.4393,-79.9946
E13610,CENTRE AVE AT MELWOOD AVE,Bus,Bus Stop,180.209085,83.99318,96.21590499999999,40.4522,-79.951
S09090,BROWNSVILLE RD AT SANKEY AVE,Bus,Bus Stop,179.82954635000002,155.545455,24.28409135,40.3841,-79.9775
E41960,NEGLEY AVE AT STANTON AVE,Bus,Bus Stop,179.611367,22.388637,157.22273,40.4713,-79.9263
E41280,MURRAY AVE AT LORETTA ST,Bus,Bus Stop,178.988633,70.388633,108.6,40.422,-79.9289
E19890,FORBES AVE OPP MARGARET MORRISON ST,Bus,Bus Stop,176.42726999999996,67.27499499999999,109.15227499999999,40.4426,-79.9375
E41260,MURRAY AVE AT LILAC ST,Bus,Bus Stop,173.377272,12.493182,160.88409000000001,40.4233,-79.9287
E35370,LIBERTY AVE AT MILLVALE AVE (WEST PENN HOSP),Bus,Bus Stop,171.27727,130.413635,40.863635,40.46,-79.9461
TP7076,LAYOVER PENN PARK TERMINAL - N,Bus,Bus Stop,169.49091199999998,87.38636799999999,82.104544,40.4462,-79.9887
N17040,EAST COMMONS AT NORTH COMMONS,Bus,Bus Stop,166.961365,80.743185,86.21818,40.4538,-80.0039
E19360,FORBES AVE BTW DENNISTON ST & SHADY AVE,Bus,Bus Stop,166.34545,123.76136,42.58409,40.4381,-79.9188
E41290,MURRAY AVE AT MORROWFIELD AVE FS,Bus,Bus Stop,163.07272935,152.75682,10.31590935,40.4282,-79.9248
N13550,CEDAR AVE AT EAST OHIO ST,Bus,Bus Stop,162.352266,58.0022685,104.3499975,40.4535,-80.0018
S08770,BROWNSVILLE RD AT MAYTIDE ST,Bus,Bus Stop,161.163636,27.829546,133.33409,40.3846,-79.978
S30735,LYSLE BLVD OPP MCKEESPORT TRANSPORTATION CENT,Bus,Bus Stop,159.2681818181818,82.00000000000003,77.26818181818179,40.3519,-79.8609
E01460,FIFTH AVE AT NEGLEY AVE,Bus,Bus Stop,158.83636585,144.4750025,14.361363350000001,40.4499,-79.9296
S09200,BROWNSVILLE RD AT WALNUT ST FS,Bus,Bus Stop,158.27272999999997,99.34545499999999,58.927274999999995,40.416,-79.9871
E17294,EAST BUSWAY AT EAST LIBERTY STATION D,Busway,Busway Station,153.31818392,2.85454542,150.4636385,40.4595,-79.9228
S70138,E CARSON ST AT S 26TH ST,Bus,Bus Stop,152.75909,59.99318,92.76590999999999,40.4274,-79.9686
S08370,BROWNSVILLE RD AT CEDRICTON ST FS,Bus,Bus Stop,152.543185,61.23182,91.311365,40.405,-79.9907
S02550,8TH AVE AT AMITY ST,Bus,Bus Stop,151.69999999999996,69.1204545454545,82.57954545454545,40.4072,-79.9108
N38770,NORTH AVE OPP BOYLE ST,Bus,Bus Stop,151.1977286,75.9704555,75.2272731,40.4556,-80.0057
P02890,PENN AVE AT 9TH ST,Bus,Bus Stop,150.50909159999998,127.079546,23.429545599999997,40.4438,-79.9981
P00690,SIXTH AVE AT BIGELOW BLVD,Bus,Bus Stop,149.64545095,10.27954545,139.3659055,40.4404,-79.9946
S08550,BROWNSVILLE RD AT GOLDBACH WAY,Bus,Bus Stop,148.927269,32.290909,116.63636,40.4155,-79.9874
E41220,MURRAY AVE AT HAZELWOOD AVE,Bus,Bus Stop,148.31363499999998,39.120456,109.19317899999999,40.4198,-79.9284
S00982,SECOND AVE AT TECUMSEH ST,Bus,Bus Stop,146.3227265,43.9409065,102.38182,40.4088,-79.9438
E01650,FIFTH AVE AT SHADY AVE,Bus,Bus Stop,146.14089529999998,142.677259,3.4636363,40.453,-79.9206
S09530,BROWNSVILLE RD OPP MCKINLEY ST,Bus,Bus Stop,143.952275,102.72500000000001,41.22727499999999,40.4085,-79.9911
S30830,LYSLE BLVD OPP EVANS ST,Bus,Bus Stop,143.73636363636365,38.515909090909105,105.22045454545456,40.3526,-79.8508
E70429,CENTRE AVE AT HILL HOUSE,Bus,Bus Stop,142.71818,81.16817999999999,61.55,40.4431,-79.9812
P01600,EAST BUSWAY AT PENN STATION A,Busway,Busway Station,142.681819225,81.134090525,61.5477287,40.4439,-79.9921
W08036,GREENTREE RD AT CHATHAM PARK DR,Bus,Bus Stop,142.45907749999998,136.23635,6.2227275,40.4034,-80.0583
E29140,HIGHLAND AVE AT STANTON AVE,Bus,Bus Stop,141.602273,12.431818,129.170455,40.4696,-79.921
E35350,LIBERTY AVE AT MATHILDA ST (WEST PENN HOSP),Bus,Bus Stop,141.40227,44.825,96.57727,40.4606,-79.9469
N14830,CHATEAU ST AT JUNIATA ST,Bus,Bus Stop,140.4931852,29.6431832,110.85000199999999,40.4564,-80.0291
N13600,CEDAR AVE AT SUISMON ST,Bus,Bus Stop,140.0159085,57.213636,82.8022725,40.4548,-80.0021
E19590,FORBES AVE AT MILTENBERGER ST,Bus,Bus Stop,139.075,77.956818,61.118182000000004,40.4375,-79.9817
N38370,NORTH AVE AT BRIGHTON RD,Bus,Bus Stop,139.015907,58.145453,80.870454,40.4541,-80.0144
S09620,BROWNSVILLE RD OPP PARKFIELD ST,Bus,Bus Stop,138.8090915,114.67272999999999,24.136361499999996,40.3912,-79.9865
E27540,HAY ST AT PENN AVE,Bus,Bus Stop,138.422731,31.825,106.59773100000001,40.4443,-79.8858
E01090,FIFTH AVE AT COLLEGE ST,Bus,Bus Stop,137.152275545,116.8863665,20.265909045,40.4513,-79.9257
E01350,FIFTH AVE AT MARYLAND AVE,Bus,Bus Stop,136.44545485,118.509091,17.93636385,40.4506,-79.9274
S16250,E CARSON ST AT S 21ST ST,Bus,Bus Stop,136.19317955000002,91.73863500000002,44.45454455,40.4285,-79.9765
P01290,BLVD OF ALLIES AT STANWIX ST,Bus,Bus Stop,136.154546,31.559091,104.595455,40.4396,-80.0048
E70451,LAWRENCEVILLE SHOPPING CENTER,Bus,Bus Stop,134.045455,45.69091,88.354545,40.4829,-79.948
E41800,NEGLEY AVE AT FRIENDSHIP AVE,Bus,Bus Stop,133.002272,21.193182,111.80909,40.4606,-79.9324
