stop_id,stop_name,lat,lon,mode,pre_usage,post_usage,abs_change,pct_change,zone,dist_from_dt_km
S26920,JOSEPHINE ST AT S 26TH ST,40.4241,-79.9698,Bus,8.11136385,2.579004295,-5.532359555,-68.20504735464431,Inner ring (2-8 km),2.8716111069744428
N31730,MAIN ST OPP 21ST ST,40.4937,-79.916,Bus,15.25,8.037878,-7.212122000000001,-47.292603278688524,Outer ring (> 8 km),8.974862304343333
N20720,FREEPORT RD AT BOYD AVE,40.4982,-79.8546,Bus,1.713636545,1.047619025,-0.66601752,-38.86573975930235,Outer ring (> 8 km),13.560672126238822
X06700,GILKESON RD AT OLD GILKESON RD,40.359,-80.0597,Bus,1.870454545,0.79329005,-1.077164495,-57.58838127766425,Outer ring (> 8 km),10.560114946451929
N71258,JACKS RUN RD AT YORK DR,40.4999,-80.0318,Bus,0.71136365,0.1872294,-0.52413425,-73.68021264510774,Inner ring (2-8 km),7.259558022214951
N44990,PITTSBURGH ST AT BLOCKDALE ST,40.5408,-79.8072,Bus,7.8886363636363654,4.043290043290041,-3.8453463203463247,-48.74538694763418,Outer ring (> 8 km),19.46219480489633
N15680,CORBETT CT OPP TOWNE TOWERS NORTH,40.5466,-80.0201,Bus,8.39318185,5.1980524500000005,-3.195129399999999,-38.06815409343239,Outer ring (> 8 km),11.96298846149046
E58700,WM PENN HWY AT PENN CENTER BLVD NS (DONUT SHO,40.4303,-79.8136,Bus,17.6568191,3.6515152,-14.0053039,-79.31951854227243,Outer ring (> 8 km),15.471333532401273
N50240,SOUTH SIDE AVE AT MATHIAS ST,40.4701,-79.9958,Bus,4.0840907,0.8365800999999999,-3.2475106,-79.51612338090337,Inner ring (2-8 km),3.2802612479273514
N14190,CENTER AVE AT TOWNSHIP RD,40.5188,-80.0255,Bus,2.51363635,0.20887445,-2.3047619,-91.69034733285902,Outer ring (> 8 km),9.04866924440131
P01260,BLVD OF ALLIES AT SMITHFIELD ST,40.4378,-80.0004,Bus,90.9113631,19.937228949999998,-70.97413415,-78.06959628570347,Downtown (< 2 km),0.49190553489346434
E70239,WASHINGTON BLVD AT SILVER LAKE DR,40.4622,-79.9056,Bus,0.0,0.0,0.0,,Outer ring (> 8 km),8.00929672378356
