stop_id,avg_ons,avg_offs,stop_name,lat,lon,direction,mode,net_flow,total_usage,flow_type,on_off_ratio
W13520,0.3272727272727275,0.04772727272727275,MCCOY RD OPP WARBLER DR,40.4804,-80.091,Inbound,Bus,0.27954545454545476,0.3750000000000002,Generator,6.8571428571428585
X03990,0.33863635000000003,0.52727275,CEDAR BLVD AT CARNEGIE DR,40.38,-80.053,Outbound,Bus,-0.18863639999999993,0.8659091,Attractor,0.6422413257654602
N71207,13.031818181818199,2.9181818181818198,BALPH AVE AT ORCHARD AVE,40.4992,-80.0531,Inbound,Bus,10.11363636363638,15.950000000000019,Generator,4.465732087227418
W20190,2.0477272727272715,7.695454545454545,E RAILROAD ST AT 4TH ST,40.3891,-80.0889,Outbound,Bus,-5.647727272727273,9.743181818181817,Attractor,0.266095688127584
W23093,3.1113635000000004,21.79318,SUMMIT PARK DR AT ANDREW DR,40.45,-80.1761,Outbound,Bus,-18.6818165,24.9045435,Attractor,0.14276776037274047
S14745,2.07727272727273,5.438636363636365,DUQUESNE BLVD AT OAKMONT AVE,40.3809,-79.8554,Both,Bus,-3.3613636363636354,7.515909090909095,Attractor,0.38194734642707934
N28100,2.2772725,0.1681818,ITIN ST OPP HIGH ST,40.4598,-79.9947,Inbound,Bus,2.1090907,2.4454543,Generator,13.540540653031423
E70397,10.429545000000001,2.6022724999999998,MOSSFIELD ST AT FERN ST,40.4713,-79.9336,Inbound,Bus,7.827272500000001,13.0318175,Generator,4.007860437367724
S27546,3.9386365000000003,13.361365,KENNYWOOD MALL FIRE LANE AT HOLLYWOOD VIDEO,40.3836,-79.8675,Both,Bus,-9.422728499999998,17.3000015,Attractor,0.29477800359469264
E16160,1.3477275,1.956818,DARLINGTON RD AT BEACON ST,40.4362,-79.9138,Both,Bus,-0.6090905,3.3045454999999997,Attractor,0.6887342103353505
S70190,1.66818181818182,4.870454545454545,KENNEDY AVE AT 6TH ST,40.371,-79.8505,Outbound,Bus,-3.2022727272727254,6.538636363636365,Attractor,0.34251049930004707
P03090,2676.6819499999997,683.8090775,SMITHFIELD ST AT SIXTH AVE,40.4417,-79.9976,Outbound,Bus,1992.8728724999996,3360.4910274999997,Generator,3.9143703090136293
N22580,0.4363636363636365,2.4386363636363653,FREEPORT RD OPP ORR AVE,40.5404,-79.8118,Outbound,Bus,-2.0022727272727288,2.8750000000000018,Attractor,0.17893755824790303
E50320,0.2431818,7.584091,SALTSBURG RD OPP ALCOMA PARK PLAZA,40.4768,-79.788,Outbound,Bus,-7.3409092,7.8272728,Attractor,0.032064726016605025
E43040,0.022727275,0.07045454500000001,OBERLIN ST OPP OAKDENE ST,40.4664,-79.8901,Inbound,Bus,-0.04772727,0.09318182000000001,Attractor,0.3225806795005205
E10080,2.022727272727275,10.8681818181818,BRINTON RD AT BRINTON MANOR DR W FS,40.4118,-79.8541,Outbound,Bus,-8.845454545454524,12.890909090909075,Attractor,0.18611459640317912
N17640,31.6727286,19.495454775,EAST OHIO ST OPP JAMES ST,40.4535,-80.0006,Outbound,Bus,12.177273825,51.168183375,Generator,1.6246211727574331
S38470,1.7386365000000001,0.375,PENNSYLVANIA AVE AT CARNEGIE ST,40.3621,-79.8564,Outbound,Bus,1.3636365000000001,2.1136365,Generator,4.636364
E70828,3.36818181818182,0.0,7TH ST EXT AT TIMBER DR,40.3881,-79.7484,Inbound,Bus,3.36818181818182,3.36818181818182,Generator,
W03430,17.111365,10.4,CHARTIERS AVE AT HILLSBORO ST,40.4534,-80.0548,Inbound,Bus,6.711364999999999,27.511364999999998,Generator,1.6453235576923075
S70105,0.09772727272727275,0.0,WORTHINGTON AVE OPP INTERCHANGE LOUNGE (#1560),40.2927,-79.9095,Inbound,Bus,0.09772727272727275,0.09772727272727275,Generator,
E21320,5.9886363000000005,34.927275,FRANKSTOWN RD AT RODI RD FS,40.4666,-79.8259,Outbound,Bus,-28.938638700000002,40.915911300000005,Attractor,0.17146016401222255
N25450,0.0,0.0,HEMLOCK DR AT NORTH PARK POOL (PARK AND RIDE,40.5867,-79.9963,Inbound,Bus,0.0,0.0,Balanced,
W08075,2.165909,8.940909,GREENTREE RD OPP MANORVIEW RD,40.3947,-80.0664,Outbound,Bus,-6.7749999999999995,11.106818,Attractor,0.24224706906199361
E19700,19.2204545,5.00000025,FORBES AVE AT PLAINFIELD ST,40.4404,-79.9354,Inbound,Bus,14.22045425,24.22045475,Generator,3.844090707795464
E53530,27.025,0.4522727,ST CLAIR ST AT CALLOWHILL ST,40.4776,-79.9199,Inbound,Bus,26.572727299999997,27.4772727,Generator,59.75377244746366
X15270,0.120454545,2.2227275,REPUBLIC ST AT RUTLEDGE ST,40.4404,-80.0252,Outbound,Bus,-2.102272955,2.343182045,Attractor,0.0541922232932287
E32480,22.906820000000003,1.984091045,JANCEY ST AT VILSACK ST,40.4827,-79.9287,Inbound,Bus,20.922728955000004,24.890911045000003,Generator,11.545246402742574
E32277,3.9886365,1.315909,JAMES ST OPP HARPER DR,40.4168,-79.8146,Inbound,Bus,2.6727275,5.3045455,Generator,3.031088395930114
S70330,7.570454545454545,4.620454545454545,OHIO AVE AT BROADWAY ST,40.319,-79.8906,Inbound,Bus,2.95,12.190909090909091,Generator,1.6384653221839647
N14980,13.372724999999999,2.3295455,CHESTNUT ST AT PROGRESS ST,40.4533,-79.9929,Outbound,Bus,11.043179499999999,15.7022705,Generator,5.740486717258795
S70332,17.643181818181798,8.20909090909091,MONONGAHELA AVE AT 8TH ST,40.3226,-79.8924,Inbound,Bus,9.434090909090887,25.85227272727271,Generator,2.1492248062015475
N04610,6.4931814999999995,381.34319999999997,ALLEGHENY AVE AT REEDSDALE ST FS,40.4478,-80.0178,Inbound,Bus,-374.8500185,387.83638149999996,Attractor,0.017027133301446045
E52500,4.093181599999999,14.7522723,SOUTH AVE OPP MULBERRY ST,40.4416,-79.8841,Inbound,Bus,-10.6590907,18.8454539,Attractor,0.27746109323104073
E10440,1.8727272727272748,0.615909090909091,BRINTON RD OPP MCKELVEY RD,40.4254,-79.8691,Inbound,Bus,1.2568181818181838,2.488636363636366,Generator,3.0405904059040623
N30480,16.740909090909096,58.37954545454545,LINCOLN AVE AT STARR AVE,40.4978,-80.06,Outbound,Bus,-41.63863636363635,75.12045454545455,Attractor,0.2867598396075837
E20810,0.65454545,16.165909499999998,FRANKSTOWN RD AT 1ST REFORMED CHURCH,40.4815,-79.8216,Outbound,Bus,-15.511364049999997,16.82045495,Attractor,0.040489243738497986
E54590,16.063634999999998,1.3545455,TRENTON AVE OPP REBECCA AVE NS,40.4419,-79.8924,Inbound,Bus,14.709089499999997,17.4181805,Generator,11.859058998018153
X04560,6.140909000000001,1.784091045,COCHRAN RD AT MCCULLY ST,40.3856,-80.0538,Inbound,Bus,4.356817955,7.925000045000001,Generator,3.4420379033963484
E45130,8.315909,2.9886365,PAULSON AVE AT DEAN ST,40.468,-79.9034,Inbound,Bus,5.327272499999999,11.3045455,Generator,2.7825093483265695
N37120,1.190909,0.025,MT TROY RD AT BAUN RD,40.4815,-79.9892,Inbound,Bus,1.165909,1.215909,Generator,47.636359999999996
E09400,0.5568182,6.072727499999999,BRADDOCK AVE OPP GUTHRIE ST,40.4384,-79.8971,Outbound,Bus,-5.515909299999999,6.6295456999999995,Attractor,0.0916916163289066
X00710,0.0,0.025,BANKSVILLE RD AT #3021,40.4015,-80.0425,Inbound,Bus,-0.025,0.025,Attractor,0.0
E53080,0.52045455,0.16363634999999999,STANTON AVE OPP MORNINGSIDE AVE,40.4754,-79.932,Inbound,Bus,0.3568182,0.6840909,Generator,3.180555848379654
E06580,7.036363400000001,12.2227275,JONES AVE AT PARKVIEW AVE,40.4037,-79.8626,Both,Bus,-5.186364099999999,19.2590909,Attractor,0.5756786609208134
S24150,0.215909075,0.8659091000000001,HWY RT 51 AT STEWART AVE,40.3787,-79.9932,Outbound,Bus,-0.6500000250000001,1.081818175,Attractor,0.24934381103051115
E03010,0.5068182,0.21818179999999998,AIRBRAKE AVE AT 9TH ST,40.4025,-79.8212,Inbound,Bus,0.2886364,0.725,Generator,2.3229169435764123
N07045,12.68636363636365,0.243181818181818,BABCOCK BLVD OPP DUNCAN AVE,40.5674,-80.0166,Inbound,Bus,12.443181818181833,12.929545454545467,Generator,52.168224299065514
X02540,0.0,1.2340909090909098,BOWER HILL RD OPP COOKS SCHOOL RD,40.3612,-80.1003,Outbound,Bus,-1.2340909090909098,1.2340909090909098,Attractor,0.0
E70993,13.6727275,26.379545,WYLIE AVE AT CRAWFORD ST,40.4426,-79.9873,Outbound,Bus,-12.7068175,40.0522725,Attractor,0.5183079351823544
S31750,1.2386365000000001,7.4454545,MAIN ST OPP HOMESTEAD-DUQUESNE RD,40.3955,-79.8997,Outbound,Bus,-6.206818,8.684091,Attractor,0.16636143569207226
