route_id,route_name,mode,month,otp,rolling_mean,rolling_std,z_score,known_event
77,PENN HILLS,BUS,2024-07,0.3977,0.48415,0.03413882087754373,-2.5323077299622323,
77,PENN HILLS,BUS,2024-09,0.3834,0.472725,0.04391291226548611,-2.034139741403716,
77,PENN HILLS,BUS,2024-11,0.5692,0.463225,0.05007692491648043,2.116244161891886,
77,PENN HILLS,BUS,2025-10,0.663,0.5796083333333333,0.04159021865629941,2.0050788228793297,
77,PENN HILLS,BUS,2025-11,0.6866,0.59675,0.02610470177085874,3.4419086947892867,
79,EAST HILLS,BUS,2019-07,0.6003,0.6871999999999999,0.03588648770777103,-2.4215242435436846,
79,EAST HILLS,BUS,2020-08,0.7402,0.6934333333333335,0.021398909629542554,2.1854696092600046,
79,EAST HILLS,BUS,2020-09,0.7442,0.7016,0.01858391288673652,2.2923051921107485,
79,EAST HILLS,BUS,2020-10,0.7588,0.7054,0.02222091561815316,2.403141297938929,
79,EAST HILLS,BUS,2020-12,0.7793,0.7109,0.026562550534711116,2.5750539245324737,
79,EAST HILLS,BUS,2021-01,0.786,0.7172083333333333,0.03290342503126183,2.0907144651751945,
79,EAST HILLS,BUS,2021-09,0.6989,0.7579333333333333,0.01592632659428603,-3.7066509332109936,
79,EAST HILLS,BUS,2022-10,0.696,0.7568083333333334,0.015646112403191956,-3.8864819430114785,
79,EAST HILLS,BUS,2022-11,0.7044,0.7534166666666667,0.023057392162456686,-2.1258547506720356,
79,EAST HILLS,BUS,2022-12,0.6837,0.7494583333333332,0.02706958905331108,-2.429232789748977,
79,EAST HILLS,BUS,2023-02,0.676,0.7372916666666667,0.030635228038480306,-2.000692359452307,
79,EAST HILLS,BUS,2023-04,0.6318,0.7229583333333333,0.03348710629300157,-2.722192014315202,
79,EAST HILLS,BUS,2023-05,0.6178,0.7139916666666667,0.042006437998636986,-2.289926764792289,
79,EAST HILLS,BUS,2024-03,0.7863,0.6606583333333333,0.041962092380739474,2.9941706797332146,
79,EAST HILLS,BUS,2024-10,0.661,0.7254833333333334,0.0313526520071073,-2.0567106514216302,
79,EAST HILLS,BUS,2025-04,0.6471,0.7172166666666667,0.03270754245328322,-2.1437461028084157,
79,EAST HILLS,BUS,2025-05,0.6269,0.7112833333333333,0.03844752819418202,-2.1947661474399376,
79,EAST HILLS,BUS,2025-11,0.7697,0.6881666666666666,0.03247234721010099,2.510854321857317,
8,PERRYSVILLE,BUS,2019-07,0.7737,0.6244833333333334,0.06577073564030336,2.2687395117902383,
8,PERRYSVILLE,BUS,2020-07,0.7601,0.8042583333333334,0.01853936638778614,-2.38186852828073,
8,PERRYSVILLE,BUS,2020-08,0.7599,0.803125,0.020849073447909695,-2.073233619133979,
8,PERRYSVILLE,BUS,2021-08,0.8073,0.7709250000000001,0.010936936998495997,3.325885483751262,
8,PERRYSVILLE,BUS,2021-09,0.7406,0.7748750000000001,0.014554419822295066,-2.35495474354094,
8,PERRYSVILLE,BUS,2021-11,0.6945,0.7715500000000001,0.01746958395716233,-4.410522894473995,
8,PERRYSVILLE,BUS,2022-04,0.6935,0.7606999999999999,0.02778115777415885,-2.418905667873469,
8,PERRYSVILLE,BUS,2022-12,0.8349,0.7567416666666666,0.03285041741351851,2.379218880219459,
8,PERRYSVILLE,BUS,2025-05,0.7548,0.7853666666666667,0.014518222614313223,-2.10540005334617,
8,PERRYSVILLE,BUS,2025-06,0.7251,0.7841916666666666,0.01641830787058461,-3.5991325739808144,
