route_id,lag,correlation,p_value
P1,1,-0.4271767139866823,0.00025156008859118523
P1,2,-0.45596165001843164,0.00009324789874491007
P1,3,-0.4706276871622362,0.000058450122823863064
P1,4,-0.4849234436087621,0.00003686411873697158
P1,5,-0.48048208098096207,0.000051048192285375946
P1,6,-0.4859004796336637,0.00004697128107045933
P10,0,-0.1200789759281563,0.3220999387337752
P10,1,-0.07034312151769001,0.5657300897471359
P10,2,0.03200640052432116,0.7955544891294865
P10,3,0.12059853497310863,0.33099158987671284
P10,4,0.1666137733806801,0.18119593622238642
P10,5,0.13991532556135222,0.26629962488769454
P10,6,0.15278456487567244,0.2280960971605916
P12,0,-0.12493572154445115,0.3063791913172207
P12,1,-0.18616586822294534,0.12850505404899393
P12,2,-0.12533153770313055,0.3122230486687159
P12,3,-0.04556257334980105,0.7164043331057763
P12,4,-0.09978113489041479,0.42904404251510536
P12,5,-0.18744495684329188,0.13802500634251905
P12,6,-0.27151952347811525,0.03135169594735889
P13,0,-0.3753215677522502,0.001484313774900908
P13,1,-0.3412911539306027,0.004396208212425474
P13,2,-0.3109960035710857,0.010420052987051443
P13,3,-0.2625018314433742,0.03322746649051389
P13,4,-0.2512205341694761,0.043528395810930154
P13,5,-0.19249273008262374,0.1275383345699834
P13,6,-0.12150498067372201,0.34281169196793154
P16,0,-0.4125555358458797,0.0003866813544898114
P16,1,-0.3717443953958909,0.0016605196709803907
P16,2,-0.2901828389614427,0.016375239050743954
P16,3,-0.2033051475598858,0.09892454861947465
P16,4,-0.20871639532615616,0.09260758235515222
P16,5,-0.14601274264849287,0.24581128496931726
P16,6,-0.05542420546650108,0.6635701676897067
P17,0,0.1399186615024623,0.2515180807192003
P17,1,0.06360277159578492,0.6063571678840302
P17,2,-0.03959505792070939,0.7503900576827474
P17,3,-0.1368306942782854,0.27327968914467743
P17,4,-0.19506551737907116,0.11943407045611464
P17,5,-0.21184186431554491,0.09286695225245582
P17,6,-0.2123098493337123,0.09481732338073671
P2,0,-0.423073989788356,0.0010424171267589678
P2,1,-0.3806988253621057,0.0037977227613331193
P2,2,-0.3745648701771667,0.004841373533520103
P2,3,-0.3628509181595875,0.007005438327326933
P2,4,-0.3237946441076341,0.01802241147618223
P2,5,-0.4130285515812984,0.002341367423753118
P2,6,-0.4595452897878753,0.0006929359587080594
P3,0,0.07401221777813057,0.5425794502306085
P3,1,0.17126865891915763,0.15939932049960193
P3,2,0.2601032274124293,0.03218387307892438
P3,3,0.352652768969604,0.0034232958978420262
P3,4,0.3841899215926329,0.001448951638043418
P3,5,0.29060838959789564,0.018852828434979707
P3,6,0.11451266507131427,0.3675806102431567
P67,0,-0.28938735649474295,0.015105921249002145
P67,1,-0.27785481083012775,0.020800262377624074
P67,2,-0.17827729326996627,0.14579742989460973
P67,3,-0.06274692682256676,0.6139538035716621
P67,4,-0.08245333148420966,0.5104240965014646
P67,5,-0.15682398458136057,0.21219264458115944
P67,6,-0.13840609064764428,0.2754114056994053
