stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
4781,ARLINGTON AVE + FERNLEAF,40.417334,-79.976272,mid_block,NaN,shp-48-02
4783,ARLINGTON AVE + CONWAY,40.41732,-79.973661,mid_block,NaN,shp-48-02
4785,ARLINGTON AVE + CLOVER,40.41756,-79.97145,mid_block,NaN,shp-48-02
4786,ARLINGTON AVE + COLOGNE,40.417496,-79.969558,mid_block,NaN,shp-48-02
4788,ARLINGTON AVE + DENGLER,40.41724,-79.967731,mid_block,NaN,shp-48-02
48,LOGAN ROAD,40.311297,-80.033358,near_side,44.93904571512617,shp-SLVR-51
4802,JOSEPHINE ST + SALISBURY,40.417832,-79.9667,mid_block,NaN,shp-48-02
4803,JOSEPHINE ST + #3237,40.418956,-79.964629,mid_block,NaN,shp-48-02
4804,JOSEPHINE ST + #3203,40.41996,-79.964246,mid_block,NaN,shp-48-02
4806,JOSEPHINE ST + #3033,40.42191,-79.964981,mid_block,NaN,shp-48-02
4807,JOSEPHINE ST + TELESCOPE,40.422887,-79.96679,mid_block,NaN,shp-48-02
4808,JOSEPHINE ST + BARRY,40.42381,-79.968812,mid_block,NaN,shp-48-02
4809,JOSEPHINE ST + 26TH,40.424076,-79.969795,mid_block,NaN,shp-48-02
4811,26TH ST + SARAH ST,40.426475,-79.968792,mid_block,NaN,shp-48-02
4812,26TH ST + E CARSON,40.427235,-79.96844,near_side,25.57132832117912,shp-48-02
4814,E CARSON ST + 24TH ST,40.428244,-79.971017,near_side,16.659431315672858,shp-48-02
4815,E CARSON ST + 18TH ST,40.428809,-79.980429,near_side,14.356922748061795,shp-48-02
4816,E CARSON ST + 17TH ST,40.428889,-79.981913,near_side,15.394895953612165,shp-51-08
4817,E CARSON ST + 14TH ST,40.428849,-79.983942,near_side,22.81235811726135,shp-51-08
4821,E CARSON ST + 7TH ST,40.428668,-79.99213,mid_block,NaN,shp-51-08
4823,E CARSON ST + 5TH ST,40.428776,-79.994951,mid_block,NaN,shp-51-08
4824,E CARSON ST + TERMINAL WAY FS,40.429505,-79.997189,mid_block,NaN,shp-51-08
