stop_id,stop_code,stop_name,classification,auth_class,auth_has_signal,heur_has_signal
7617,7617,MONTIER ST + #1449,mid_block,none,0,0
7618,7618,PARK AVE + SWISSVALE,near_side,nearside,1,1
7619,7619,SWISSVALE AVE + HILL,mid_block,none,0,0
7620,7620,SWISSVALE AVE + NORTH,near_side,nearside,1,1
7621,7621,WALLACE AVE + COAL,mid_block,none,0,0
7622,7622,WALLACE AVE + MILL,mid_block,none,0,0
7623,7623,WALLACE AVE + CENTER,near_side,nearside,1,1
7624,7624,WALLACE AVE + WOOD,near_side,nearside,1,1
7625,7625,HAY ST + PENN AVE,near_side,nearside,1,1
7626,7626,PENN AVE + WEST,near_side,nearside,1,1
7628,7628,PENN AVE + BRUSHTON,mid_block,none,0,0
7629,7629,PENN AVE + BRADDOCK,near_side,nearside,1,1
7630,7630,PENN AVE + CARNEGIE,near_side,nearside,1,1
7631,7631,PENN AVE + LEXINGTON,mid_block,none,0,0
7632,7632,PENN AVE + HOMEWOOD,near_side,nearside,1,1
7633,7633,PENN AVE + LANG,near_side,nearside,1,1
7635,7635,DALLAS AVE + PENHAM,mid_block,farside,1,0
7637,7637,DALLAS AVE + REYNOLDS ST,near_side,nearside,1,1
7638,7638,DALLAS AVE + EDGERTON,mid_block,none,0,0
7639,7639,WILKINS AVE + WORTH,mid_block,none,0,0
7640,7640,WILKINS AVE + #6647,mid_block,none,0,0
7641,7641,WILKINS AVE + BARNSDALE,mid_block,none,0,0
7642,7642,WILKINS AVE + BEECHWOOD,near_side,nearside,1,1
7644,7644,WILKINS AVE + WOODLAND,mid_block,none,0,0
7645,7645,WILKINS AVE + MURRAY,mid_block,none,0,0
7646,7646,WILKINS AVE + NEGLEY,near_side,nearside,1,1
7647,7647,WILKINS AVE + WIGHTMAN,near_side,nearside,1,1
7648,7648,WILKINS AVE + BELLEROCK,mid_block,none,0,0
7651,7651,BEELER ST + BEELERMONT,mid_block,none,0,0
7653,7653,BEELER ST + UNGER,mid_block,none,0,0
7654,7654,BEELER ST + FORBES,near_side,nearside,1,1
7672,7672,BEELER ST + FORBES FS,far_side,farside,1,1
7673,7673,BEELER ST + UNGER FS,mid_block,none,0,0
7675,7675,BEELER ST + BEELERMONT,mid_block,none,0,0
7676,7676,BEELER ST + #5362,mid_block,none,0,0
7678,7678,WILKINS AVE + BELLEROCK,mid_block,none,0,0
7679,7679,WILKINS AVE + WIGHTMAN,near_side,nearside,1,1
7680,7680,WILKINS AVE + NEGLEY,near_side,nearside,1,1
7681,7681,WILKINS AVE + MURRAY,mid_block,none,0,0
7682,7682,WILKINS AVE + WOODLAND,mid_block,none,0,0
7683,7683,WILKINS AVE + SHADY FS,far_side,farside,1,1
7684,7684,WILKINS AVE + BEECHWOOD,near_side,nearside,1,1
7685,7685,WILKINS AVE + BARNSDALE,mid_block,none,0,0
7686,7686,WILKINS AVE + #6640,mid_block,none,0,0
7687,7687,WILKINS AVE + WORTH,mid_block,none,0,0
7688,7688,DALLAS AVE + EDGERTON,mid_block,none,0,0
