geoid,population,land_area_m2,dist_to_stop_m,pop_density,within_half_mile,density_quartile
42003498000,2194,3704812.0,1390.2223340402918,592.2027892373486,false,1
42003429400,4375,3558361.0,1395.5743399578648,1229.4986371534537,false,2
42003416000,1475,5835111.0,1400.3012481847516,252.78010992421568,false,1
42003475304,5564,4349270.0,1456.6361749384741,1279.2951460819863,false,2
42003459202,633,195289.0,1536.5380132503858,3241.3499992319075,false,4
42003451101,3734,7373111.0,1541.7870206412417,506.43480072387354,false,1
42003429300,6533,8348163.0,1552.0386747400987,782.567374403207,false,2
42003413202,2745,4146674.0,1552.6995763021987,661.9763212637405,false,1
42003523701,3812,6548443.0,1587.2705279321426,582.1231092642938,false,1
42003491101,7475,16645820.0,1590.0131875973584,449.0616863572957,false,1
42003521402,4008,5739326.0,1616.4831350801103,698.3398399045462,false,2
42003497000,998,12431396.0,1658.7894947458954,80.28060565362088,false,1
42003413100,6737,15950009.0,1702.452527371365,422.3822068062783,false,1
42003414102,6953,18148722.0,1707.4669908519988,383.1123756262287,false,1
42003475200,5390,4720556.0,1719.4546415055906,1141.8146506470848,false,2
42003426800,5225,5175928.0,1849.8756421352207,1009.4808119432882,false,2
42003449000,2455,5417042.0,1935.3118577609093,453.1993660008544,false,1
42003564500,3079,16448225.0,2100.490631552115,187.19345096507374,false,1
42003526101,7547,34306561.0,2133.136485670259,219.98707477558014,false,1
42003421200,4247,9247662.0,2215.9516922228854,459.251213982518,false,1
42003496200,5667,14500164.0,2466.3914058720634,390.82316586212403,false,1
42003414200,5976,14189799.0,2484.7164400418624,421.14761456451924,false,1
42003405000,1099,24194863.0,2630.3756379617607,45.42286517596732,false,1
42003458001,4277,17613048.0,2716.9996128689454,242.83133731311017,false,1
42003474202,5294,8860748.0,2738.425243375552,597.4664892851033,false,1
42003456004,5777,6490264.0,2770.9853840731575,890.1024673264446,false,2
42003422000,5299,20376878.0,2883.300543876281,260.04965039296013,false,1
42003526102,2433,13797822.0,3206.572722356145,176.332177643689,false,1
42003437000,7050,17747766.0,3239.530511090581,397.2330940130719,false,1
42003452000,6375,83540938.0,3370.33832825249,76.30989252239424,false,1
42003412002,4708,8198569.0,3391.567761951809,574.24655449018,false,1
42003490004,4900,8126275.0,3472.1687355514932,602.9823012388825,false,1
42003563300,1459,25355417.0,3486.5977608152575,57.54194458722568,false,1
42003456001,4759,14474742.0,3524.7640303868993,328.7796079543249,false,1
42003474203,4844,4407424.0,3581.368094573848,1099.0546859117708,false,2
42003451104,4128,7652271.0,3613.675597396874,539.4477012118364,false,1
42003458002,4582,17644419.0,3660.1454278308242,259.68551302255975,false,1
42003412003,6542,8272797.0,3727.371872910394,790.7845436071985,false,2
42003439000,1615,13860454.0,3929.4350693423507,116.5185498252799,false,1
42003455000,1459,1215882.0,4082.700709893884,1199.9519690233099,false,2
