route_id,route_name,mode,avg_otp,weighted_aadt,max_aadt,median_aadt,p90_aadt,avg_truck_pct,match_rate,n_segments,stop_count,span_km
53L,HOMESTEAD PARK LIMITED,BUS,0.6500780487804878,12930.372372185595,44041,7690.0,19953.0,5.834145497222778,0.7672858617131063,111,146,12.322998382877683
29,ROBINSON,BUS,0.6510407407407407,12774.73073991616,40608,5850.0,22163.4,7.717797901999719,0.7709102091020911,119,131,17.067718520592095
48,ARLINGTON,BUS,0.7499313253012049,12656.835722241054,40608,5122.0,21167.5,6.113033267154133,0.9504617968094039,52,89,3.9666806534948136
40,MOUNT WASHINGTON,BUS,0.7615112500000001,12597.507475172297,40608,3484.5,13381.0,6.861494420482279,0.5613577023498695,46,77,3.5505152436795564
38,GREEN TREE,BUS,0.713946913580247,12586.544036349234,43654,7790.0,20465.200000000015,5.0652010197421635,0.8720024914356899,130,131,12.261876259076415
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,12408.631614843389,45012,6379.0,27844.80000000002,4.38279014585805,1.0,97,123,13.848572886447071
51,CARRICK,BUS,0.7006710843373495,12109.572387178336,40608,6421.0,17739.399999999998,5.153863299898531,0.8633879781420765,88,141,12.104660004294889
12,MCKNIGHT,BUS,0.654610843373494,12039.273454283779,44185,5835.5,19932.2,4.193614383788298,0.7694019471488178,110,108,16.35066654278593
1,FREEPORT ROAD,BUS,0.6164829268292683,11966.23857703525,45012,5951.0,25673.4,6.144404837632073,0.9345982142857143,159,221,27.362454504961793
52L,HOMEVILLE LIMITED,BUS,0.6749771084337349,11820.841917487347,44041,5626.5,20509.5,5.709507651824666,0.8873190902825637,96,136,15.523676314067313
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,11815.913666388542,44041,7846.0,18617.0,5.363537755527743,0.9247359154929577,73,173,8.902574050474298
71,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,11710.711050042664,34022,4551.0,20094.99999999999,5.166089444360789,0.4750633981403212,19,95,4.127406434117842
31,BRIDGEVILLE,BUS,0.6748740740740741,11632.262959452344,46175,6251.0,22246.6,5.678311391960681,0.9578444154715341,108,128,14.177868183201774
91,BUTLER STREET,BUS,0.6465373493975903,11595.598980850189,40573,5091.0,21050.400000000005,5.502693163616777,0.7980022197558269,85,158,13.419994427708412
39,BROOKLINE,BUS,0.789404938271605,11594.03761965071,40608,4002.0,13619.400000000003,5.691764552407147,0.6372299872935197,54,69,6.419222994940436
61D,MURRAY,BUS,0.6678686746987952,11559.150796542244,44041,5382.0,22841.800000000017,4.999013016262047,0.6450381679389313,39,75,5.6385721010378065
O5,THOMPSON RUN FLYER VIA 279,BUS,0.6921698795180723,11557.362122014694,44185,5659.5,20969.999999999996,4.296946178116579,0.7528506271379704,128,127,16.16884707272886
O12,MCKNIGHT FLYER,BUS,0.6471686746987952,11536.386381700142,44185,5841.0,19745.000000000007,4.223223570834324,0.9583416783496895,173,64,16.413809486675728
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,11506.751177017533,46175,5530.5,22869.000000000004,5.958808076037546,0.6492890995260664,100,78,14.177868183201774
44,VIA KNOXVILLE,BUS,0.72646625,11342.910997812534,40608,4462.0,13500.200000000003,6.249953367963508,0.4326771653543307,55,133,8.098706096774043
26,CHARTIERS,BUS,0.80436125,11289.626701935453,40608,5803.0,22869.0,6.484253037799794,0.7386124737210932,70,81,5.737168533918969
22,MCCOY,BUS,0.7232444444444445,11129.246648968798,40608,5305.0,22163.4,7.081304614518286,0.9203379601689801,79,65,8.91323125286527
27,FAIRYWOOD,BUS,0.7843629629629629,10957.821880987103,40608,5308.5,22745.8,6.634468559663722,0.7905282331511839,72,105,6.682186660737685
2,MOUNT ROYAL,BUS,0.6322256097560975,10947.248441035405,44465,6248.0,20288.2,4.596686764861441,0.8992137240886348,119,187,13.848572886447071
41,BOWER HILL,BUS,0.76378875,10692.81690160915,40608,5605.0,13417.2,4.988379342161044,0.8184684684684684,69,138,14.172647691300227
20,KENNEDY,BUS,0.698530487804878,10513.779240405946,40608,5689.0,22163.4,6.9634006291919635,0.9619417475728156,89,92,13.712067654834525
P3,EAST BUSWAY-OAKLAND,BUS,0.8470578313253012,10442.67028648401,34022,5702.5,12268.900000000005,4.285164766494008,0.43968327899394505,44,40,7.71174571972425
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,10427.60394087245,43579,6885.5,17432.600000000006,5.311489952559108,0.8181044267877412,122,211,7.796044980917041
P16,PENN HILLS FLYER,BUS,0.6379180722891566,10252.825351201127,36492,6941.5,15036.200000000004,6.224435603609091,0.70547323858482,110,199,20.652907624999234
