route_id,month,mode,otp,daily_trips,delta_otp,delta_trips,detrended_delta_otp
52L,2021-02,BUS,0.5764,24,0.016000000000000014,0,0.021327956989247332
52L,2021-03,BUS,0.6645,24,0.08809999999999996,0,0.07191505376344082
53L,2019-02,BUS,0.6897,55,-0.02429999999999999,0,-0.010532608695652158
53L,2019-03,BUS,0.6891,55,-0.0005999999999999339,0,-0.014495652173912982
53L,2019-04,BUS,0.6681,55,-0.02100000000000002,0,0.01283369565217389
53L,2019-05,BUS,0.6358,55,-0.032299999999999995,0,-0.0023565217391304308
53L,2019-06,BUS,0.6427,55,0.006900000000000017,0,0.005919565217391323
53L,2019-07,BUS,0.6977,55,0.05499999999999994,0,0.0012108695652173276
53L,2019-08,BUS,0.6639,55,-0.03379999999999994,0,-0.028385869565217332
53L,2019-09,BUS,0.6878,55,0.02389999999999992,0,0.039234782608695576
53L,2019-10,BUS,0.6466,55,-0.041200000000000014,0,-0.05585000000000001
53L,2019-11,BUS,0.6698,55,0.0232,0,0.03039565217391304
53L,2019-12,BUS,0.698,55,0.028200000000000003,0,-0.004631521739130416
53L,2020-01,BUS,0.7662,55,0.06820000000000004,0,0.05537717391304351
53L,2020-02,BUS,0.7314,55,-0.03479999999999994,0,-0.022360439560439496
53L,2020-03,BUS,0.7702,165,0.038799999999999946,110,0.0025130434782608194
53L,2020-04,BUS,0.7706,126,0.00039999999999995595,-39,0.022005434782608645
53L,2020-05,BUS,0.7236,126,-0.04699999999999993,0,-0.04242608695652167
53L,2020-06,BUS,0.6713,126,-0.05230000000000001,0,-0.034509782608695666
53L,2020-07,BUS,0.6609,126,-0.010399999999999965,0,-0.012716304347826047
53L,2020-08,BUS,0.7002,126,0.0393,0,0.03955591397849462
53L,2020-09,BUS,0.7469,55,0.046699999999999964,-71,0.04772043010752685
53L,2020-10,BUS,0.733,55,-0.013900000000000023,0,-0.01666129032258067
53L,2020-12,BUS,0.6765,50,-0.056499999999999995,-5,-0.044690322580645155
53L,2021-01,BUS,0.6786,50,0.0020999999999999908,0,-0.012208602150537649
53L,2021-02,BUS,0.7023,50,0.023700000000000054,0,0.029027956989247372
53L,2021-03,BUS,0.709,50,0.006699999999999928,0,-0.009484946236559214
54,2019-02,BUS,0.692,114,0.008199999999999985,0,0.021967391304347814
54,2019-03,BUS,0.7276,114,0.035600000000000076,0,0.021704347826087027
54,2019-04,BUS,0.7299,114,0.0022999999999999687,0,0.03613369565217388
54,2019-05,BUS,0.7173,114,-0.012599999999999945,0,0.01734347826086962
54,2019-06,BUS,0.6845,114,-0.03280000000000005,0,-0.03378043478260875
54,2019-07,BUS,0.7096,114,0.02510000000000001,0,-0.0286891304347826
54,2019-08,BUS,0.6941,114,-0.015499999999999958,0,-0.01008586956521735
54,2019-09,BUS,0.6774,114,-0.016700000000000048,0,-0.0013652173913043953
54,2019-10,BUS,0.6945,114,0.017100000000000004,0,0.002450000000000006
54,2019-11,BUS,0.7068,114,0.012299999999999978,0,0.019495652173913018
54,2019-12,BUS,0.7142,114,0.007399999999999962,0,-0.025431521739130457
54,2020-01,BUS,0.7125,114,-0.0016999999999999238,0,-0.01452282608695645
54,2020-02,BUS,0.7115,114,-0.0010000000000000009,0,0.011439560439560443
54,2020-03,BUS,0.726,342,0.014499999999999957,228,-0.02178695652173917
