geoid,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,median_household_income,population,households_total,households_zero_vehicle,pop_black_nh,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share,zero_vehicle_share,black_share
42003552200,8,5,5,5,64.20681818181818,58.42727272727272,58.42727272727272,58.42727272727272,50000.0,890,412,22,102,0.625,1.0,0.9099854872393898,1.0,0.05339805825242718,0.1146067415730337
42003499300,10,0,0,0,29.893181818181827,0.0,0.0,0.0,50729.0,1595,696,92,23,0.0,,0.0,,0.13218390804597702,0.014420062695924765
42003170600,18,5,5,5,802.374988345,454.69773045,454.69773045,454.69773045,50859.0,1630,862,182,162,0.2777777777777778,1.0,0.5666898109422275,1.0,0.2111368909512761,0.09938650306748466
42003565300,11,2,1,2,55.215908925,15.177272550000001,15.177272550000001,14.481818,51008.0,1223,525,49,100,0.18181818181818182,0.5,0.2748713703258123,0.9541778967394243,0.09333333333333334,0.08176614881439084
42003484500,15,2,2,2,168.793184795,39.2568205,39.2568205,39.2568205,51129.0,5400,2641,373,157,0.13333333333333333,1.0,0.23257349251202036,1.0,0.14123438091631957,0.029074074074074075
42003417200,11,4,3,4,99.652275295,47.3181829,47.3181829,39.7522733,51477.0,1242,584,128,5,0.36363636363636365,0.75,0.4748329404413926,0.8401056605240013,0.2191780821917808,0.004025764895330112
42003480101,19,2,2,2,404.00000000000006,69.95227272727271,69.95227272727271,69.95227272727271,51631.0,5599,2341,445,421,0.10526315789473684,1.0,0.17314918991899184,1.0,0.19008970525416488,0.07519199857117342
42003450700,5,2,2,2,73.8295454545455,45.138636363636394,45.138636363636394,45.138636363636394,51898.0,2882,1355,157,430,0.4,1.0,0.6113898722487302,1.0,0.11586715867158671,0.14920194309507287
42003562901,26,7,6,7,110.413636465,48.804544895,48.804544895,41.436363395,52679.0,1508,633,46,397,0.2692307692307692,0.8571428571428571,0.4420155558455005,0.849026734787668,0.07266982622432859,0.26326259946949604
42003457200,21,0,0,0,98.64772727272722,0.0,0.0,0.0,53472.0,3344,1793,332,180,0.0,,0.0,,0.18516452872281094,0.05382775119617225
42003202200,35,0,0,0,455.793174925,0.0,0.0,0.0,53521.0,2548,1191,182,619,0.0,,0.0,,0.1528127623845508,0.24293563579277866
42003468900,11,2,1,2,199.01590909090913,37.356818181818184,37.356818181818184,24.32954545454546,53765.0,3805,1995,324,591,0.18181818181818182,0.5,0.18770769810545065,0.6512745634848209,0.162406015037594,0.15532194480946124
42003160800,21,1,1,1,396.293179545,81.3954509,81.3954509,81.3954509,54138.0,2334,1248,205,144,0.047619047619047616,1.0,0.20539200546790476,1.0,0.1642628205128205,0.061696658097686374
42003461000,40,6,5,6,159.665910125,29.2681815,29.2681815,27.977272425,54286.0,946,524,39,21,0.15,0.8333333333333334,0.18330889466064726,0.9558937723889678,0.07442748091603053,0.022198731501057084
42003462100,30,2,2,2,290.695455865,24.854545,24.854545,24.854545,54458.0,2715,1133,84,978,0.06666666666666667,1.0,0.085500287323179,1.0,0.07413945278022947,0.3602209944751381
42003151600,20,0,0,0,217.66590685,0.0,0.0,0.0,54917.0,2425,1265,160,145,0.0,,0.0,,0.12648221343873517,0.05979381443298969
42003523702,42,4,3,4,200.17500012,20.93409129,20.93409129,7.504545589999999,55532.0,5198,2498,519,1735,0.09523809523809523,0.75,0.10457894980617224,0.35848442074888837,0.2077662129703763,0.33378222393228163
42003161000,21,0,0,0,336.56136350863636,0.0,0.0,0.0,55700.0,2902,1170,262,1119,0.0,,0.0,,0.22393162393162394,0.3855961405926947
42003478100,19,9,9,9,876.3863636363637,529.4681818181818,529.4681818181818,529.4681818181818,55729.0,4357,2020,362,289,0.47368421052631576,1.0,0.6041492699878115,1.0,0.1792079207920792,0.06633004360798715
42003431500,12,7,5,7,817.7,435.659090909091,435.659090909091,334.9636363636364,55938.0,3144,1710,263,515,0.5833333333333334,0.7142857142857143,0.5327859739624446,0.7688663988731805,0.15380116959064327,0.16380407124681934
42003429700,22,4,3,4,1084.33636782,13.556818100000001,13.556818100000001,7.565909,56103.0,2252,1005,58,69,0.18181818181818182,0.75,0.012502410232034598,0.5580888482969318,0.05771144278606965,0.03063943161634103
42003564400,22,5,5,5,53.98409038,16.14772697,16.14772697,16.14772697,56333.0,5694,2683,338,633,0.22727272727272727,1.0,0.2991201084677793,1.0,0.12597838240775253,0.11116965226554268
42003562800,13,1,1,1,303.3045453540909,15.206818,15.206818,15.206818,56382.0,1560,749,118,63,0.07692307692307693,1.0,0.05013712531820748,1.0,0.157543391188251,0.04038461538461539
42003429500,31,10,9,10,431.013640615,280.36364015,280.36364015,258.13409425,56602.0,4428,2312,223,93,0.3225806451612903,0.9,0.6504750980733645,0.9207117374845513,0.09645328719723184,0.02100271002710027
42003260200,18,5,5,5,409.80227797272727,145.2795450227273,145.2795450227273,145.2795450227273,56696.0,2167,965,144,662,0.2777777777777778,1.0,0.35451131638754774,1.0,0.14922279792746113,0.30549146285186896
42003427200,9,0,0,0,33.034092144999995,0.0,0.0,0.0,56912.0,4544,2398,164,74,0.0,,0.0,,0.06839032527105922,0.016285211267605633
42003551300,12,3,2,3,62.340909090909086,23.670454545454536,23.670454545454536,23.670454545454536,57460.0,2303,1059,105,149,0.25,0.6666666666666666,0.37969376594969,1.0,0.09915014164305949,0.06469821971341728
42003515200,2,0,0,0,31.020454800000003,0.0,0.0,0.0,57487.0,2018,1051,101,402,0.0,,0.0,,0.0960989533777355,0.199207135777998
42003564200,6,2,2,2,26.947728875,23.504547,23.504547,23.504547,57500.0,2171,970,53,38,0.3333333333333333,1.0,0.8722273817221637,1.0,0.05463917525773196,0.017503454629203132
42003290400,21,3,2,3,688.09091492,199.40227314999998,199.40227314999998,199.09318224999998,57500.0,3957,1902,379,736,0.14285714285714285,0.6666666666666666,0.2897905913685595,0.9984499128564723,0.19926393270241852,0.18599949456659085
42129802200,7,0,0,0,18.90454545454546,0.0,0.0,0.0,57557.0,3206,1378,110,37,0.0,,0.0,,0.07982583454281568,0.011540860885839051
42003488400,31,1,1,1,148.13863627499998,0.0,0.0,0.0,57584.0,4233,1929,207,412,0.03225806451612903,1.0,0.0,,0.10730948678071539,0.09733049846444602
42003565100,16,7,5,7,1219.0840825,641.099992,641.099992,402.974992,57621.0,2953,1553,463,861,0.4375,0.7142857142857143,0.5258866071692804,0.6285680814670794,0.29813264649066323,0.29156789705384356
42003450800,14,7,7,7,170.00227272727267,135.29090909090903,135.29090909090903,135.29090909090903,57746.0,2628,1161,204,598,0.5,1.0,0.7958182377240944,1.0,0.17571059431524547,0.22754946727549466
42003503002,5,2,2,2,23.659088275,20.631815675,20.631815675,20.631815675,57813.0,5771,2878,116,125,0.4,1.0,0.8720461006437493,1.0,0.04030576789437109,0.02166002425922717
42003523400,22,2,2,2,279.829542735,13.193181899999999,13.193181899999999,13.193181899999999,57966.0,5016,2362,228,1394,0.09090909090909091,1.0,0.04714720887241705,1.0,0.09652836579170194,0.27791068580542266
42003488200,42,4,4,4,503.4999958859091,114.59999605,114.59999605,114.59999605,58125.0,3455,1296,162,463,0.09523809523809523,1.0,0.22760674674557071,1.0,0.125,0.13400868306801736
42003478200,17,2,2,2,577.22954635,259.8409099863636,259.8409099863636,259.8409099863636,58312.0,5625,2601,450,241,0.11764705882352941,1.0,0.45015178386036825,1.0,0.17301038062283736,0.04284444444444444
