geoid,area_label,population,land_area_m2,pop_density,weekly_trips,boardings,boardings_per_1000,density_quartile,rail_served,expected_boardings,boardings_resid
42003426800,,5225,5175928.0,1009.4808119432882,0,0.0,0.0,2,false,39.86382548854994,-1.6113390209063043
42003453004,"North Fayette township (Allegheny, PA)",7398,7432588.0,995.3464392214395,2216,70.5,9.529602595296026,2,false,39.20933463574728,0.249979155129759
42003523600,"Penn Hills township (Allegheny, PA)",4912,5034901.0,975.5901853879551,140,12.95,2.636400651465798,2,false,38.29678373380418,-0.44978279915713837
42003523800,"Penn Hills township (Allegheny, PA)",4604,4795646.0,960.0375006829112,2860,62.25,13.520851433536055,2,false,37.58027855972141,0.21469517080870038
42003475102,"Bethel Park municipality (Allegheny, PA)",1739,1826777.0,951.9498001124385,0,0.0,0.0,2,true,37.2083450792182,-1.5821582274678292
42003562300,Hazelwood,2966,3115857.0,951.9050457065264,16771,754.05,254.23128792987188,2,false,37.206288205484725,1.2958408644814177
42003427200,"Shaler township (Allegheny, PA)",4544,4775077.0,951.6076913524117,945,14.7,3.2350352112676055,2,false,37.192622413176,-0.3860798268719312
42003521100,"Monroeville municipality (Allegheny, PA)",4420,4688466.0,942.7390536691532,345,0.0,0.0,2,false,36.78532360970706,-1.5773231460538137
42003417200,"Springdale borough (Allegheny, PA)",1242,1319446.0,941.3041534098403,2508,41.3,33.25281803542673,2,false,36.71947683157474,0.04977470692417052
42003020300,Strip District,1471,1590870.0,924.6512914317324,21419,563.05,382.7668252889191,2,false,35.956356126640465,1.183628460063146
42003469000,"Green Tree borough (Allegheny, PA)",4870,5375269.0,906.0011694298463,5819,370.7,76.11909650924025,2,false,35.10407578841461,1.0126363289268752
42003523501,"Penn Hills township (Allegheny, PA)",4090,4584875.0,892.0635786144661,2101,32.0,7.823960880195599,2,false,34.46880728307956,-0.03133264472920594
42003456004,,5777,6490264.0,890.1024673264446,0,0.0,0.0,2,false,34.37953577863988,-1.5487521301537566
42003526301,,3839,4348413.0,882.8508239672727,0,0.0,0.0,2,false,34.04968281125666,-1.5446840920902876
42003427100,,5524,6263033.0,882.0007814105402,0,0.0,0.0,2,false,34.011042890080425,-1.5442050474877234
42003562800,Oakwood,1560,1776466.0,878.1479634285149,2858,145.8,93.46153846153847,2,false,33.83597523590028,0.6246980824306787
42003513000,"North Braddock borough (Allegheny, PA)",2243,2584742.0,867.7848698245318,11976,239.05,106.57601426660722,2,false,33.36564198622185,0.8441772489080805
42003486700,"Duquesne city (Allegheny, PA)",2146,2492427.0,861.0081659362542,9269,224.79999999999998,104.75302889095991,2,false,33.058518219998206,0.8214981883510029
42003563000,Windgap,3361,3938517.0,853.3668891107999,6238,199.85,59.46146980065457,2,false,32.71263205370176,0.7750791754548949
42003401300,"Harrison township (Allegheny, PA)",2845,3337386.0,852.4635747857754,250,15.899999999999999,5.5887521968365546,2,false,32.67177269450445,-0.2993792763771945
42003563201,North Shore,266,315777.0,842.3666068143026,6919,167.95,631.390977443609,2,false,32.215488171389616,0.7064175564165094
